,ENSG00000123096,ENSG00000131095,ENSG00000048649,ENSG00000078549,ENSG00000206172,ENSG00000244734,ENSG00000121966,ENSG00000155980,ENSG00000127914,ENSG00000170275,ENSG00000188536,ENSG00000038427,ENSG00000078114,ENSG00000104324,ENSG00000157833,ENSG00000146005,ENSG00000225465,ENSG00000117592,ENSG00000168280,ENSG00000120063,ENSG00000124749,ENSG00000152661,ENSG00000089169,ENSG00000111328,ENSG00000141279,ENSG00000152990,ENSG00000092820,ENSG00000152518,ENSG00000104361,ENSG00000147027,ENSG00000196739,ENSG00000087263,ENSG00000185650,ENSG00000119729,ENSG00000108932,ENSG00000107562,ENSG00000124942
hB_RNA_7665,4.44100916,13.5362596,7.428791934,8.157033742,2.513992348,7.533122957,1.391167743,10.41353244,8.31386532,5.820125022,3.646301543,8.434861006,8.933839785,4.980837685,3.802895256,6.142821303,6.022448799,7.164440646,9.978143514,7.021342476,4.94076609,9.331533309,6.071053212,4.694622327,6.914319624,6.360718087,6.679058757,4.941360522,5.209338238,7.074700989,3.084553486,5.212393599,6.227155527,5.814875591,3.056936723,3.118395575,10.60728219
BM_22_148,4.348172642,12.49607037,7.536757954,8.097842644,1.532704452,7.309915871,2.837389938,10.47070595,8.428824027,5.604829555,3.656953898,8.22487125,9.040360453,4.850546181,4.677543211,6.543699881,6.175382493,7.321341091,10.13743803,7.058490179,4.923940872,9.388255859,6.993233699,4.771205228,7.155481494,6.308278662,7.396281166,4.834874685,5.640757922,7.278081306,3.454594903,5.133979044,5.667411176,5.648501187,2.442743646,3.79001623,10.25102889
hB_RNA_8175,4.232960933,13.54149395,7.41308916,8.538080412,-0.671393859,5.0646432,3.060257844,10.1439453,8.342357213,6.355913853,1.316368607,8.331241794,8.728404847,5.050482546,4.91947687,7.115378075,5.332020396,6.956324557,9.689150247,6.944338899,5.254627552,9.110132742,4.431370944,4.959149323,6.880017243,6.289258638,7.02124236,5.26602745,4.422424637,6.924788194,4.482650232,5.136639369,6.338212648,5.909374611,2.531714433,3.934293297,10.4453544
hB_RNA_8095,4.159832873,12.53147977,7.555934154,7.693709082,1.096790849,7.693074947,3.161450938,10.61069571,8.356425761,6.117305578,2.892952193,8.486945803,8.71404534,5.003402527,5.090245748,7.125519309,5.665592272,6.851008704,10.03576211,6.834390904,4.69459791,9.107830023,5.377576098,4.866997631,7.025372261,6.416015436,7.162419783,4.978715835,5.255607055,7.319791466,4.131786034,5.356809361,6.001906812,6.217078289,1.670326441,3.477631874,10.38197789
BM_22_94,4.596020493,13.87846313,7.461393479,8.385532873,1.340538455,6.857982146,1.869665761,10.75208753,8.45367364,6.133686525,2.248189985,8.704312079,9.026447267,5.017684316,4.822520553,7.058627522,5.850695995,7.564732658,9.962258376,7.159722705,5.098553765,9.361193181,6.362305995,5.103586625,6.997918833,6.440788773,7.479927314,4.916725366,5.251397299,6.96127245,3.068164065,5.096987839,6.08569367,5.887280017,2.170668353,2.830737396,10.56181425
hB_RNA_9145,4.056877466,12.08228496,7.463553956,7.960528979,1.330065614,6.813248189,2.242767217,10.66566602,8.380290493,5.776517352,2.730315566,8.503945102,8.94754827,4.471555443,4.767527508,6.980164118,6.226228683,6.669631868,10.23243021,6.872830954,4.834141951,8.750625886,7.352388335,4.884611467,7.220384405,6.273607428,6.847801655,4.31612816,5.935041769,7.051228817,3.051888062,5.337361236,5.381023324,5.958818856,2.850338897,2.609841795,9.512011826
BM_22_154,3.230188811,12.80844599,7.598307254,7.610782102,1.704988464,7.828729035,3.348554908,11.0348755,8.560819804,5.634161854,3.350907845,7.829582747,8.991982779,4.785793912,4.946665377,6.357803742,6.311479306,7.057896441,10.1921103,6.929986367,4.145785329,8.358250414,6.658567992,5.397948892,7.564902085,6.266966118,6.922474194,4.079684799,5.72813111,6.672889735,3.647071955,5.273174301,5.892569094,6.094072459,2.307893308,2.969799317,9.52386464
BM_22_117,3.578608998,12.23417183,7.688663615,7.868842972,-0.362630282,5.267118514,2.976609932,10.86552702,8.563180949,5.738525633,1.160982053,8.263264597,9.051139368,5.221201269,5.244787647,6.804007637,6.289280549,6.505939165,10.44420167,7.053846114,4.384118047,8.893930305,7.317720714,5.189312679,7.627290836,6.495871815,7.220472839,4.890581302,6.027702212,6.904109078,3.571710515,5.411333511,6.044427735,6.343667769,2.135954596,2.571937375,9.563823934
hB_RNA_8075,4.495097799,13.73243957,7.420054736,8.289252416,1.740806253,7.91428206,3.014049901,10.55816713,8.157067346,6.260596978,3.787795556,8.845109317,8.77683026,5.33244811,4.973944609,7.121130955,5.292259125,6.955969056,10.03285735,7.232164868,4.883792724,9.304377672,5.323587285,5.185653512,6.936799888,6.629370395,7.145776625,5.539199659,4.613181348,6.853673939,4.403273573,4.992148676,6.649329535,5.737175295,2.086752016,3.528209733,10.37084181
BM_22_44,3.580009346,11.6315937,7.544436125,7.659761828,0.209315149,5.254105424,2.032030599,10.38369389,8.328099084,5.544913022,1.266011148,7.637693628,8.707851696,4.607350195,4.941363416,6.713000007,6.48053791,6.64668886,10.26046476,6.629648425,3.900632694,8.585157648,7.697776245,5.171263352,7.135893297,5.879075683,6.968824427,4.648004177,5.832420829,6.818425595,2.74961522,5.316745161,5.462198158,5.631899096,3.244039404,3.797859456,9.208821545
